Bursttime,Memory
7320577392102,15
4830296279119,5
295683481726,16
2246663172159,11
3383769190688,13
2734198640782,15
3584540454978,11
559248906261,15
570019578124,5
3389154261743,12
9899738229128,2
2511918514432,13
9649982437886,16
3281486605859,1
7684087815676,6
6480705889713,5
6874648636268,3
279314509598,16
5133519463089,2
6895852558897,11
3414721395720,9
923525964140,8
416797132352,15
9937536928960,5
2446081150088,16
771614532399,3
2406711923213,1
1862359024834,5
8143969896796,1
3660745067294,8
5934770034824,3
6978713300968,12
3337085950057,12
243427066419,11
3129961072189,14
7173660561451,15
1572321970445,1
3319133543322,15
8848036622969,10
932412746702,5
7491426352140,14
9217465325186,13
9359062517977,9
3992131733839,10
7951950389047,5
1812671273642,4
3240638425383,3
1439552703709,15
6909344979343,6
1139619230306,5
3083575601391,4
9322914966316,2
7718309088661,14
4280440836147,15
2540855010844,8
4479969802525,9
1925117100965,11
3071142517926,5
4660206693816,7
5881319131508,10
5271649633722,14
8273850195185,4
3380249864349,9
3622817110862,6
9565057823615,11
1935569827579,5
7227883018417,1
6464753170537,8
1227683867611,1
2200013991145,7
9432253047257,8
167681117444,6
4294765083158,6
7909826245906,16
9174295495182,6
3930061598972,10
5752622341119,13
5032739842778,8
4417264938534,9
5003362434014,5
2914498693390,5
1604056172439,11
6044976302867,7
3235144319380,7
8951262925951,8
962798179746,5
7235730735268,5
9392958132359,13
8073162231414,13
3559594813747,6
3062441460024,1
9209266298077,12
2103829347313,13
6021678567553,14
9868643488076,8
2278578815624,6
9567452490087,16
3943769593781,10
8716995087438,10
9370502417751,10
2795380610171,5
3516477701996,8
5595614180370,2
9933133169655,5
465718069958,2
6683197681276,3
9727298708445,4
4430137305410,7
6116284803855,1
8690239553220,3
3624696288993,2
2580758311844,7
4851004351099,13
1156123657322,11
8090561161679,10
4081207659119,16
5127812957902,4
3397338181416,1
4524563537681,3
134545322000,10
6615452490258,14
7618311302772,7
9044899176553,15
4705618441290,10
6824536306655,16
2753099067143,10
4996130928024,15
7462009798422,16
4967396858961,2
5337565876822,5
1658795981216,7
9233631711993,6
4881218897820,4
2359899330613,12
240771623953,5
3582958084943,6
3520697109996,14
9104484870735,13
6456991739439,14
3143819102417,14
9411985234113,11
7124548113302,14
8652215408974,7
1301476262357,13
9928939399217,9
9821780809437,15
5791131852123,8
8035346244562,3
1049166284296,14
2017416743003,6
2468136469036,11
9753374941856,10
763821882576,10
6689194987263,11
3181636022720,12
8798972204037,8
3473365901766,9
732715068335,12
5845333852649,3
6097267664649,5
1587860145084,3
2724074453093,2
8426359684920,7
9615040628309,10
2761511203357,10
8938562963238,9
9838803933761,14
351725832190,10
355812371624,16
5394494825676,7
8451534065418,14
6684404582741,8
7054770072189,2
5298122644366,12
1932740912672,1
6231348313282,3
690003073705,7
3443976487939,3
3436970735812,13
3616580052874,2
6244105172916,1
8387661330599,3
9436098476482,1
8292120951451,4
1692602282355,10
2460484211574,11
3825100357196,3
1320454517010,6
9695830261649,6
1172707261128,1
6772795296836,1
5007527015046,7
6913377292552,11
2071751300672,1
8835928531593,16
3402864772955,14
8485461819161,11
6288475344871,5
389753227023,14
1819375973851,14
4780059302985,10
7937422869967,12
3006268799585,3
8898010670964,1
8293755080531,5
5991301359773,2
6362773816425,4
3187829177331,14
1986632583010,12
1416020906791,2
6628219573111,11
1959617058851,9
9568847264198,11
6203899400607,10
1643555105364,8
8814764814159,13
3887249499377,15
9505779359580,4
2344805026142,8
6896177296977,1
9935246615000,16
4116370513567,3
598626836784,6
2136925205761,12
9554213158222,4
9095730074149,4
1510210721604,3
36800445670,2
9635914557241,13
116570499085,11
750801735876,9
698305172632,4
9526046839215,7
8714683357364,5
5789802885972,6
2013637076746,16
4917189643017,15
1659242748643,6
1426432435065,6
4444245087977,7
9597004679596,16
7870224031846,9
441321594750,12
226423092233,6
3420521494013,4
7644800394291,12
125616006262,2
4109510672160,11
4888581933091,6
